,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-07-13,318.1,318.42,313.52,313.625,313.625,1797831,1797831,-4.48,-1.40679,315.19,"July 13, 23",-0.0140679
1,2023-07-12,316.31,321.26,316.01,317.52,317.519989,5294727,5282032,1.21,0.38254,318.72,"July 12, 23",0.0038254
2,2023-07-11,312.91,314.57,310.74,313.66,313.660004,2913954,2913800,0.75,0.23969,313.13,"July 11, 23",0.0023969
3,2023-07-10,303.2,310.53,303.2,310.28,310.279999,3246705,3246700,7.08,2.34,309.03,"July 10, 23",0.0234
4,2023-07-07,301.99,305.63,300.89,302.81,302.809998,2951873,2951100,0.82,0.27153,303.39,"July 07, 23",0.0027153
5,2023-07-06,306.84,307.98,301.54,302.02,302.019989,4831220,4828300,-4.82,-1.57,303.49,"July 06, 23",-0.0157
6,2023-07-05,310.5,312.3,309.99,310.8,310.799988,2496625,2496000,0.3,0.09661836,310.89,"July 05, 23",0.0009661836
7,2023-07-03,309.78,311.3999,308.9,310.02,310.019989,1483269,1483300,0.24,0.07747434,310.25,"July 03, 23",0.0007747434
8,2023-06-30,309.58,311.43,308.3,310.64,310.640015,3230714,3229900,1.06,0.3424,310.33,"June 30, 23",0.003424
9,2023-06-29,306.78,308.1291,304.03,307.82,307.820007,3279710,3279700,1.04,0.33901,306.81,"June 29, 23",0.0033901
10,2023-06-28,312.0,312.9363,306.06,306.51,306.51001,4025557,4025600,-5.49,-1.76,308.17,"June 28, 23",-0.0176
11,2023-06-27,308.15,315.4627,307.89,313.74,313.73999,5342491,5342500,5.59,1.81,313.23,"June 27, 23",0.0181
12,2023-06-26,302.67,309.21,301.98,307.89,307.890015,4440078,4440100,5.22,1.72,306.81,"June 26, 23",0.0172
13,2023-06-23,300.32,302.315,299.1,300.81,300.809998,8525877,8525300,0.49,0.16316,300.82,"June 23, 23",0.0016316
14,2023-06-22,301.5,302.835,299.6,301.18,301.179993,3052180,3052000,-0.32,-0.10614,301.03,"June 22, 23",-0.0010614
15,2023-06-21,302.87,303.5663,300.1764,300.7,300.700012,2713378,2713300,-2.17,-0.71648,301.54,"June 21, 23",-0.0071648
16,2023-06-20,299.77,302.75,298.23,301.41,301.410004,3371247,3371100,1.64,0.54709,301.07,"June 20, 23",0.0054709
17,2023-06-16,304.34,305.98,300.14,300.38,300.380005,10809348,10808400,-3.96,-1.3,301.78,"June 16, 23",-0.013
18,2023-06-15,300.84,303.43,299.5801,302.02,302.019989,4109746,4109700,1.18,0.39224,301.8,"June 15, 23",0.0039224
19,2023-06-14,300.99,302.5502,295.625,299.71,299.709991,4175958,4176000,-1.28,-0.42526,299.34,"June 14, 23",-0.0042526
20,2023-06-13,302.4,304.12,298.67,300.08,300.079987,4043383,4043400,-2.32,-0.7672,300.68,"June 13, 23",-0.007672
21,2023-06-12,298.4,302.61,297.65,300.86,300.859985,4457363,4456600,2.46,0.8244,300.69,"June 12, 23",0.008244
22,2023-06-09,300.98,301.43,296.1001,297.35,297.350006,3486443,3485800,-3.63,-1.21,297.74,"June 09, 23",-0.0121
23,2023-06-08,302.16,305.45,300.79,301.09,301.089996,3758904,3757300,-1.07,-0.35412,302.38,"June 08, 23",-0.0035412
24,2023-06-07,297.31,302.2,297.105,301.7,301.700012,4842660,4842700,4.39,1.48,300.59,"June 07, 23",0.0148
25,2023-06-06,291.82,296.92,291.65,296.0,296.0,2855434,2855400,4.18,1.43,295.45,"June 06, 23",0.0143
26,2023-06-05,295.62,295.75,291.365,293.1,293.100006,3221946,3028800,-2.52,-0.85245,293.45,"June 05, 23",-0.0085245
27,2023-06-02,290.65,296.21,289.72,295.94,295.940002,4515554,4514600,5.29,1.82,294.72,"June 02, 23",0.0182
28,2023-06-01,284.05,289.22,279.98,288.39,288.390015,4305103,4305100,4.34,1.53,286.55,"June 01, 23",0.0153
29,2023-05-31,289.59,290.0,281.96,283.45,283.450012,18288783,18288800,-6.14,-2.12,283.73,"May 31, 23",-0.0212
30,2023-05-30,293.28,294.45,288.95,292.4,290.309998,5193255,5193300,-0.88,-0.30005,291.24,"May 30, 23",-0.0030005
31,2023-05-26,287.0,293.3,285.69,292.83,290.736908,4626113,4626100,5.83,2.03,290.99,"May 26, 23",0.0203
32,2023-05-25,291.79,291.79,286.06,286.75,284.700378,5355858,5355900,-5.04,-1.73,288.14,"May 25, 23",-0.0173
33,2023-05-24,297.37,297.525,290.18,291.1,289.019287,4978212,4978200,-6.27,-2.11,291.48,"May 24, 23",-0.0211
34,2023-05-23,289.28,297.774,289.28,294.94,292.831848,5352185,5352200,5.66,1.96,295.14,"May 23, 23",0.0196
35,2023-05-22,290.73,292.99,288.08,290.66,288.582458,3736199,3736200,-0.07,-0.02407732,290.41,"May 22, 23",-0.0002407732
36,2023-05-19,295.76,295.76,289.95,290.88,288.800873,4470591,4469900,-4.88,-1.65,291.67,"May 19, 23",-0.0165
37,2023-05-18,292.65,295.93,291.6,295.16,293.050293,4546983,4547000,2.51,0.85768,293.58,"May 18, 23",0.0085768
38,2023-05-17,282.15,294.05,281.21,292.39,290.300079,7956888,7956900,10.24,3.63,290.79,"May 17, 23",0.0363
39,2023-05-16,281.75,286.09,277.09,282.33,280.311981,12365693,12362100,0.58,0.20586,282.65,"May 16, 23",0.0020586
40,2023-05-15,289.92,290.92,286.94,288.54,286.4776,5348832,5353600,-1.38,-0.47599,288.44,"May 15, 23",-0.0047599
41,2023-05-12,288.0,290.97,287.45,290.47,288.393799,3438271,3436100,2.47,0.85764,289.35,"May 12, 23",0.0085764
42,2023-05-11,288.74,289.45,285.02,287.69,285.633667,3859744,3859700,-1.05,-0.36365,286.91,"May 11, 23",-0.0036365
43,2023-05-10,291.71,293.57,285.92,289.03,286.964081,3566029,3571000,-2.68,-0.91872,289.12,"May 10, 23",-0.0091872
44,2023-05-09,286.17,291.06,285.76,290.58,288.502991,2569969,2570000,4.41,1.54,289.48,"May 09, 23",0.0154
45,2023-05-08,289.0,289.8399,284.44,287.93,285.871948,3736546,3736500,-1.07,-0.37024,286.91,"May 08, 23",-0.0037024
46,2023-05-05,287.17,290.87,286.1025,289.62,287.549866,3806598,3806300,2.45,0.85315,288.82,"May 05, 23",0.0085315
47,2023-05-04,292.72,294.5893,285.33,285.75,283.70755,4422521,4422500,-6.97,-2.38,287.28,"May 04, 23",-0.0238
