,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-07-13,158.0,158.735,157.41,158.4,158.4,3761144,3761144,0.4,0.25316456,158.18,"July 13, 23",0.0025316456
1,2023-07-12,158.94,158.94,157.88,158.08,158.080002,6876233,5478105,-0.86,-0.54108,158.26,"July 12, 23",-0.0054108
2,2023-07-11,159.13,160.3,157.6,158.63,158.630005,6606956,6606700,-0.5,-0.31421,158.58,"July 11, 23",-0.0031421
3,2023-07-10,159.43,160.3,159.0,159.51,159.509995,5739364,5739200,0.08,0.05017876,159.58,"July 10, 23",0.0005017876
4,2023-07-07,160.47,161.04,159.2,159.25,159.25,7022226,7021700,-1.22,-0.76027,159.74,"July 07, 23",-0.0076027
5,2023-07-06,162.25,162.37,161.0,161.6,161.600006,6333687,6332500,-0.65,-0.40062,161.68,"July 06, 23",-0.0040062
6,2023-07-05,162.99,163.92,162.73,162.81,162.809998,7225523,7224600,-0.18,-0.11044,163.1,"July 05, 23",-0.0011044
7,2023-07-03,164.34,164.39,162.96,163.35,163.350006,4033713,4033700,-0.99,-0.60241,163.44,"July 03, 23",-0.0060241
8,2023-06-30,164.86,165.94,164.35,165.52,165.520004,7568381,7580000,0.66,0.40034,165.37,"June 30, 23",0.0040034
9,2023-06-29,162.64,164.32,162.23,164.1,164.100006,4547514,4547500,1.46,0.89769,163.78,"June 29, 23",0.0089769
10,2023-06-28,163.2,163.2,161.91,162.96,162.960007,6780435,6780400,-0.24,-0.14706,162.67,"June 28, 23",-0.0014706
11,2023-06-27,163.68,163.88,162.44,163.29,163.289993,4927713,4927500,-0.39,-0.23827,163.38,"June 27, 23",-0.0023827
12,2023-06-26,164.98,164.98,161.33,163.63,163.630005,6868404,6978800,-1.35,-0.81828,163.3,"June 26, 23",-0.0081828
13,2023-06-23,166.11,166.27,165.03,165.48,165.479996,9450724,9447800,-0.63,-0.37927,165.53,"June 23, 23",-0.0037927
14,2023-06-22,163.9,165.72,163.79,165.62,165.619995,5486186,5485900,1.72,1.05,165.26,"June 22, 23",0.0105
15,2023-06-21,163.58,164.92,162.69,163.88,163.880005,7177549,7177500,0.3,0.1834,163.95,"June 21, 23",0.001834
16,2023-06-20,164.26,165.31,163.81,164.13,164.130005,7996117,7995800,-0.13,-0.07914282,164.4,"June 20, 23",-0.0007914282
17,2023-06-16,164.48,164.99,163.87,164.23,164.229996,13426606,13425100,-0.25,-0.15199,164.36,"June 16, 23",-0.0015199
18,2023-06-15,162.05,163.91,161.43,163.73,163.729996,7138314,7138300,1.68,1.04,163.32,"June 15, 23",0.0104
19,2023-06-14,161.6,162.08,160.98,161.56,161.559998,6699139,6699100,-0.04,-0.02475248,161.44,"June 14, 23",-0.0002475248
20,2023-06-13,159.73,160.84,159.15,160.74,160.740005,6066788,6066800,1.01,0.63232,160.4,"June 13, 23",0.0063232
21,2023-06-12,160.0,160.25,158.73,159.9,159.899994,6511261,6510600,-0.1,-0.0625,159.58,"June 12, 23",-0.000625
22,2023-06-09,160.42,160.725,159.465,160.01,160.009995,6264779,6264400,-0.41,-0.25558,160.07,"June 09, 23",-0.0025558
23,2023-06-08,158.5,160.42,157.82,160.26,160.259995,5818952,5818400,1.76,1.11,159.6,"June 08, 23",0.0111
24,2023-06-07,158.1,158.8,157.44,158.52,158.520004,6504285,6504300,0.42,0.26565,158.35,"June 07, 23",0.0026565
25,2023-06-06,159.58,159.61,157.4,158.18,158.179993,5073642,5073600,-1.4,-0.8773,158.27,"June 06, 23",-0.008773
26,2023-06-05,156.75,158.64,156.39,158.32,158.320007,6828912,6430500,1.57,1.0,158.01,"June 05, 23",0.01
27,2023-06-02,154.72,157.31,154.09,156.97,156.970001,7607721,7657200,2.25,1.45,156.49,"June 02, 23",0.0145
28,2023-06-01,154.54,155.04,153.15,154.54,154.539993,7901348,7901300,0.0,0.0,154.41,"June 01, 23",0.0
29,2023-05-31,154.695,155.69,153.85,155.06,155.059998,11324588,11324600,0.365,0.23595,154.87,"May 31, 23",0.0023595
30,2023-05-30,153.97,155.38,153.32,154.37,154.369995,5593080,5593100,0.4,0.25979,154.23,"May 30, 23",0.0025979
31,2023-05-26,154.69,155.275,154.2,154.35,154.350006,6845396,6845400,-0.34,-0.21979,154.54,"May 26, 23",-0.0021979
32,2023-05-25,156.05,156.29,153.72,154.41,154.410004,6886056,6886100,-1.64,-1.05,154.54,"May 25, 23",-0.0105
33,2023-05-24,157.08,157.14,155.92,156.66,156.660004,5015148,5015100,-0.42,-0.26738,156.64,"May 24, 23",-0.0026738
34,2023-05-23,157.1,158.27,156.37,156.81,156.809998,5793009,5793000,-0.29,-0.1846,157.1,"May 23, 23",-0.001846
35,2023-05-22,158.0,159.14,156.78,156.87,156.869995,5675927,5675900,-1.13,-0.71519,157.31,"May 22, 23",-0.0071519
36,2023-05-19,158.59,159.9344,158.14,158.91,157.720001,6527141,6524000,0.32,0.20178,159.07,"May 19, 23",0.0020178
37,2023-05-18,158.66,158.93,157.56,158.48,157.293213,5172966,5173000,-0.18,-0.11345,158.32,"May 18, 23",-0.0011345
38,2023-05-17,159.79,160.055,157.77,158.99,157.799408,6840687,6840700,-0.8,-0.50066,158.81,"May 17, 23",-0.0050066
39,2023-05-16,159.06,160.25,158.53,159.34,158.146774,5599505,5599200,0.28,0.17603,159.49,"May 16, 23",0.0017603
40,2023-05-15,160.8,161.03,158.94,159.55,158.355209,5104486,5104500,-1.25,-0.77736,159.66,"May 15, 23",-0.0077736
41,2023-05-12,161.36,161.56,160.01,160.78,159.576004,3904327,3904200,-0.58,-0.35944,160.66,"May 12, 23",-0.0035944
