,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-07-13,23.63,24.255,23.44,24.21,24.209999,7318048,6680504,0.58,2.45,23.89,"July 13, 23",0.0245
1,2023-07-12,24.63,24.67,24.01,24.07,24.07,10458182,10458200,-0.56,-2.27,24.28,"July 12, 23",-0.0227
2,2023-07-11,25.21,25.9008,25.06,25.47,25.469999,8029229,8029200,0.26,1.03,25.5,"July 11, 23",0.0103
3,2023-07-10,25.94,26.27,25.605,25.66,25.66,6839973,6840000,-0.28,-1.08,25.91,"July 10, 23",-0.0108
4,2023-07-07,26.79,26.86,25.5,25.83,25.83,8190415,8179200,-0.96,-3.58,25.88,"July 07, 23",-0.0358
5,2023-07-06,26.26,28.9,26.26,26.51,26.51,15696574,15696600,0.25,0.95202,27.42,"July 06, 23",0.0095202
6,2023-07-05,25.26,25.26,24.835,25.07,25.07,5947507,5947500,-0.19,-0.75218,25.05,"July 05, 23",-0.0075218
7,2023-07-03,24.91,25.1,24.71,24.74,24.74,2856960,2857000,-0.17,-0.68246,24.87,"July 03, 23",-0.0068246
8,2023-06-30,24.98,25.19,24.67,25.0,25.0,6084707,6059600,0.02,0.08006405,24.9,"June 30, 23",0.0008006405
9,2023-06-29,24.95,25.495,24.91,25.37,25.370001,7458783,7458800,0.42,1.68,25.24,"June 29, 23",0.0168
10,2023-06-28,25.56,25.6,24.81,24.83,24.83,6472305,6472300,-0.73,-2.86,25.26,"June 28, 23",-0.0286
11,2023-06-27,26.2,26.21,25.235,25.77,25.77,6673607,6674700,-0.43,-1.64,25.58,"June 27, 23",-0.0164
12,2023-06-26,26.51,26.55,25.86,26.43,26.43,5872829,5872800,-0.08,-0.30177,26.17,"June 26, 23",-0.0030177
13,2023-06-23,26.78,27.11,26.1,26.48,26.48,7699937,7692400,-0.3,-1.12,26.49,"June 23, 23",-0.0112
14,2023-06-22,27.08,27.13,25.96,26.15,26.15,5855743,5847300,-0.93,-3.43,26.66,"June 22, 23",-0.0343
15,2023-06-21,27.04,27.275,26.685,26.79,26.790001,7593927,7593900,-0.25,-0.92456,26.96,"June 21, 23",-0.0092456
16,2023-06-20,27.52,28.005,27.33,27.35,27.35,6445578,6441000,-0.17,-0.61773,27.64,"June 20, 23",-0.0061773
17,2023-06-16,28.34,28.47,27.28,27.3,27.299999,7556443,7546500,-1.04,-3.67,27.76,"June 16, 23",-0.0367
18,2023-06-15,27.32,28.33,27.28,28.3,28.299999,5991063,6016100,0.98,3.59,27.69,"June 15, 23",0.0359
19,2023-06-14,28.31,28.39,27.52,27.57,27.57,10047185,10047200,-0.74,-2.61,27.9,"June 14, 23",-0.0261
20,2023-06-13,28.1,28.57,27.94,28.42,28.42,5758704,5758700,0.32,1.14,28.3,"June 13, 23",0.0114
21,2023-06-12,28.47,28.9,28.3,28.49,28.49,5026350,5009100,0.02,0.07024939,28.52,"June 12, 23",0.0007024939
22,2023-06-09,28.13,28.74,27.9723,28.36,28.360001,7173222,7167500,0.23,0.81763,28.34,"June 09, 23",0.0081763
23,2023-06-08,29.0,29.13,27.89,28.21,28.209999,6780393,6772900,-0.79,-2.72,28.35,"June 08, 23",-0.0272
24,2023-06-07,28.95,29.39,28.73,28.91,28.91,7525094,7525100,-0.04,-0.13817,29.06,"June 07, 23",-0.0013817
25,2023-06-06,30.44,30.53,28.71,28.78,28.780001,6903695,6903700,-1.66,-5.45,29.43,"June 06, 23",-0.0545
26,2023-06-05,31.22,31.34,30.53,30.61,30.610001,5938640,5527000,-0.61,-1.95,30.89,"June 05, 23",-0.0195
27,2023-06-02,31.68,31.9,30.85,31.18,31.18,9253335,9249500,-0.5,-1.58,31.32,"June 02, 23",-0.0158
28,2023-06-01,33.92,34.0807,32.43,32.49,32.490002,8478342,8478300,-1.43,-4.22,32.99,"June 01, 23",-0.0422
29,2023-05-31,34.94,35.48,34.13,34.46,34.459999,6119742,6119700,-0.48,-1.37,34.85,"May 31, 23",-0.0137
30,2023-05-30,34.37,35.86,34.1,34.73,34.73,7049824,7049800,0.36,1.05,34.9,"May 30, 23",0.0105
31,2023-05-26,36.23,36.3,34.715,35.65,35.650002,6782094,6776900,-0.58,-1.6,35.46,"May 26, 23",-0.016
32,2023-05-25,36.91,37.77,36.68,37.07,37.07,5028049,5028000,0.16,0.43349,37.09,"May 25, 23",0.0043349
